Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms
D,Road,-0.04312065596147426,-1.4154677378875808,1.0566311421722894,-1.3073668639488474,medium,F,-0.24482906141829427,0.3223646544887539
F,Ship,-0.9214045721767753,0.0018523902117447988,-1.0037832644999212,-1.3073668639488474,low,F,1.0289445636428416,-1.2069289827397653
B,Ship,-0.9214045721767753,-0.706807673837918,0.22414047280978006,-1.3073668639488474,medium,M,-0.24482906141829427,0.5108490243432493
D,Ship,-0.9214045721767753,1.4191725183110704,-1.107844598170235,0.5809327151525819,medium,F,-0.7693240835022914,0.6173304540662434
A,Flight,-1.7996884883920763,1.4191725183110704,1.2855660762469796,-1.3073668639488474,low,M,0.8790888430474137,0.004144289799346174
B,Road,-0.04312065596147426,1.4191725183110704,0.9109452750338503,-0.3632170743981327,low,M,1.2537281445359834,0.15529896302681487
F,Ship,-1.7996884883920763,1.4191725183110704,0.7444471411613484,1.5250825047032968,low,M,2.3027181887039774,-0.7308223601852283
D,Ship,-0.04312065596147426,-0.706807673837918,0.22414047280978006,-1.3073668639488474,low,F,0.0548823797725612,-0.32692728192559534
F,Ship,-1.7996884883920763,-0.706807673837918,-1.5865267330536779,-0.3632170743981327,low,M,1.928078887215408,-1.3948013903544734
F,Ship,-0.04312065596147426,0.7105124542614076,-1.1910936651064858,1.5250825047032968,medium,M,-0.24482906141829427,1.3382219725357094
C,Ship,0.8351632602538268,0.0018523902117447988,0.34901407321415645,1.5250825047032968,medium,M,-0.7693240835022914,-1.0196685373648444
B,Ship,-0.9214045721767753,0.0018523902117447988,0.8276962080975994,-0.3632170743981327,low,M,-0.24482906141829427,0.8333531247111683
D,Ship,0.8351632602538268,0.0018523902117447988,-0.02560672799897275,0.5809327151525819,medium,F,-0.39468478201372204,-0.5851753471158455
F,Ship,1.7134471764691277,1.4191725183110704,0.619573540756972,-0.3632170743981327,low,M,-0.6194683629068636,0.9716565909031032
F,Road,-0.04312065596147426,0.0018523902117447988,1.098255675640415,1.5250825047032968,medium,M,-0.31975692171600817,-1.5349407432657702
A,Ship,-0.04312065596147426,0.7105124542614076,0.6820103409591602,-0.3632170743981327,low,M,-0.1699012011205804,-0.18617596677451115
F,Flight,-0.04312065596147426,-1.4154677378875808,-0.4418520626802274,-0.3632170743981327,medium,M,-0.5445405026091498,0.30706559849407083
A,Ship,-0.04312065596147426,0.7105124542614076,0.39063860668228195,1.5250825047032968,medium,F,-0.39468478201372204,-1.172047135071888
D,Flight,-0.9214045721767753,0.7105124542614076,0.8276962080975994,-0.3632170743981327,low,F,-0.6943962232045775,-0.7712118680111916
F,Ship,1.7134471764691277,-0.706807673837918,-0.7956605971592939,-1.3073668639488474,low,M,2.1528624681085495,-1.606540325320887
C,Flight,-1.7996884883920763,1.4191725183110704,0.931757541767913,0.5809327151525819,low,F,1.7782231666199804,-0.9413373706720672
F,Ship,0.8351632602538268,0.7105124542614076,1.015006608704164,-0.3632170743981327,medium,F,2.3027181887039774,-0.5790557247179723
