ID,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Gender_encoded,Product_importance_encoded,Warehouse_block_A,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Flight,Mode_of_Shipment_Road,Mode_of_Shipment_Ship
4,3,3,176,4,10,1177,1,1,1,0,1,0,0,0,1,0,0
6,3,1,162,3,12,1417,1,0,1,0,0,0,0,1,1,0,0
7,3,4,250,3,3,2371,1,0,0,0,0,0,1,0,1,0,0
9,3,4,150,3,11,1861,1,0,0,1,0,0,0,0,1,0,0
11,3,4,189,2,12,2888,1,1,1,0,0,1,0,0,1,0,0
13,3,5,198,3,1,3667,1,0,1,0,0,0,1,0,1,0,0
17,3,4,143,2,6,1194,1,0,1,0,0,1,0,0,1,0,0
19,5,5,239,3,18,2495,1,1,2,0,0,0,1,0,0,0,1
23,2,5,156,2,2,1750,1,1,0,0,0,1,0,0,0,0,1
24,4,3,211,3,12,3922,1,1,2,0,0,0,0,1,0,0,1
34,4,2,234,3,4,3261,1,1,1,0,1,0,0,0,0,0,1
41,5,1,227,2,15,3798,1,1,0,0,0,1,0,0,0,0,1
46,5,1,210,3,9,2944,1,0,0,0,1,0,0,0,0,0,1
49,5,4,190,2,9,3753,1,1,1,0,0,0,1,0,0,0,1
55,4,3,203,3,12,3539,1,1,2,0,0,0,1,0,0,0,1
60,4,1,150,3,17,1923,1,0,2,0,0,0,0,1,0,0,1
67,3,2,109,3,15,1710,1,0,1,0,0,0,1,0,0,0,1
68,3,3,158,3,6,1878,1,0,0,0,0,0,0,1,0,0,1
69,4,2,231,4,6,2512,1,0,1,1,0,0,0,0,0,0,1
71,5,1,187,4,14,3849,1,1,2,0,0,1,0,0,0,0,1
72,5,5,230,2,2,2229,1,0,0,0,0,0,0,1,0,0,1
79,3,4,223,3,18,3959,1,1,0,0,0,0,1,0,0,0,1
82,2,5,132,3,18,1759,1,1,0,0,1,0,0,0,0,0,1
86,3,4,197,3,13,2148,1,1,1,0,0,0,0,1,0,0,1
88,6,2,278,3,3,2974,1,0,1,0,1,0,0,0,0,0,1
92,5,5,286,3,18,3163,1,0,0,0,0,0,0,1,0,0,1
93,4,4,175,2,7,1188,1,0,1,1,0,0,0,0,0,0,1
94,3,3,219,3,17,3387,1,0,1,0,1,0,0,0,0,0,1
97,3,3,149,2,18,1225,1,1,1,0,0,0,1,0,0,0,1
98,4,1,271,2,8,2401,1,0,1,0,0,0,0,1,0,0,1
99,3,5,144,4,5,1104,1,1,1,1,0,0,0,0,0,0,1
105,3,3,218,3,3,2255,1,1,0,1,0,0,0,0,0,0,1
107,3,1,238,3,17,2624,1,1,0,0,0,1,0,0,0,0,1
111,3,1,158,2,2,1284,1,1,0,1,0,0,0,0,0,1,0
119,2,5,263,3,5,2947,1,0,0,0,0,1,0,0,0,1,0
122,3,3,205,3,19,2167,1,0,1,0,0,0,0,1,0,1,0
125,5,5,222,3,10,2280,1,1,0,0,0,1,0,0,0,1,0
129,4,4,200,4,16,2060,1,1,1,1,0,0,0,0,0,1,0
131,3,5,179,2,17,1364,1,0,0,0,0,1,0,0,0,1,0
133,5,2,247,3,17,3889,1,1,0,0,0,0,1,0,1,0,0
135,3,3,168,2,1,1829,1,0,1,1,0,0,0,0,1,0,0
136,3,5,157,3,4,1889,1,0,1,0,1,0,0,0,1,0,0
138,3,5,162,2,7,1739,1,1,1,0,0,0,0,1,1,0,0
140,5,1,237,2,10,3860,1,0,0,0,0,0,0,1,1,0,0
151,4,4,220,2,7,2551,1,0,1,0,0,0,1,0,1,0,0
155,3,3,162,3,8,1869,1,0,1,0,0,1,0,0,0,0,1
164,5,2,274,3,6,3375,1,1,1,0,0,0,0,1,0,0,1
166,3,3,166,4,17,1498,1,0,1,0,1,0,0,0,0,0,1
171,4,3,185,3,10,2263,1,0,1,1,0,0,0,0,0,0,1
176,4,4,150,2,3,1285,1,1,1,0,0,0,0,1,0,0,1
179,3,3,192,3,2,3995,1,0,1,0,0,1,0,0,0,0,1
180,5,5,255,4,3,3440,1,1,1,0,0,0,0,1,0,0,1
188,2,1,222,2,5,3778,1,1,1,0,0,0,0,1,0,0,1
191,2,5,130,3,16,1092,1,1,0,0,0,1,0,0,0,0,1
193,2,4,140,3,7,1411,1,0,0,0,0,0,1,0,0,0,1
197,2,2,135,3,15,1339,1,1,0,0,0,1,0,0,0,0,1
198,2,3,136,3,19,1568,1,0,0,0,0,0,0,1,0,0,1
201,2,3,139,3,9,1471,1,1,0,1,0,0,0,0,0,0,1
207,2,2,157,3,1,1477,1,1,0,1,0,0,0,0,0,0,1
210,2,5,148,3,11,1502,1,0,2,0,0,0,0,1,0,0,1
211,2,1,127,3,15,1522,1,0,0,0,0,0,1,0,0,0,1
217,4,3,185,3,3,3131,1,1,1,0,0,0,1,0,0,0,1
223,4,2,192,3,4,2061,1,1,2,0,0,0,1,0,0,0,1
224,4,5,116,3,9,1314,1,0,1,0,0,0,0,1,0,0,1
238,2,2,133,3,5,1268,1,1,0,0,1,0,0,0,0,0,1
240,2,3,158,3,10,1515,1,1,0,0,0,0,0,1,0,0,1
245,2,1,142,3,8,6064,1,0,1,0,0,1,0,0,0,0,1
247,2,3,139,3,3,1788,1,0,0,0,0,0,1,0,0,0,1
252,2,2,145,3,5,6102,1,0,1,0,0,0,0,1,0,1,0
254,2,5,160,3,19,1399,1,0,0,0,0,0,0,1,0,1,0
257,2,2,127,3,13,1128,1,1,0,0,0,1,0,0,0,1,0
259,2,3,158,3,13,1245,1,0,0,0,0,0,1,0,0,1,0
260,2,4,147,3,5,1920,1,1,0,0,0,0,0,1,0,1,0
265,5,3,271,5,9,1813,1,1,2,0,0,0,1,0,0,1,0
267,2,3,264,4,10,1648,1,0,0,1,0,0,0,0,0,1,0
271,3,2,209,5,12,3054,1,0,1,0,0,0,1,0,1,0,0
286,2,4,181,4,13,2309,1,1,1,0,1,0,0,0,1,0,0
291,4,4,270,3,12,3279,1,1,0,1,0,0,0,0,1,0,0
297,4,2,183,3,12,3646,1,0,1,1,0,0,0,0,0,0,1
305,3,2,183,4,12,2777,1,0,1,0,0,1,0,0,0,0,1
308,3,3,163,3,9,1257,1,1,1,0,0,0,0,1,0,0,1
309,4,2,165,2,11,1596,1,1,2,1,0,0,0,0,0,0,1
317,4,2,238,2,17,3358,1,1,2,0,0,1,0,0,0,0,1
321,3,4,224,2,15,2701,1,0,1,1,0,0,0,0,0,0,1
