Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms
D,Road,4,1,261,2,medium,F,9,4158
B,Ship,3,2,221,2,medium,M,9,4466
D,Ship,3,5,157,4,medium,F,2,4640
D,Ship,4,2,221,2,low,F,13,3097
F,Ship,4,4,153,5,medium,M,9,5818
C,Ship,5,3,227,5,medium,M,2,1965
B,Ship,3,3,250,3,low,M,9,4993
D,Ship,5,3,209,4,medium,F,7,2675
F,Ship,6,5,240,3,low,M,4,5219
A,Ship,4,4,243,3,low,M,10,3327
F,Flight,4,1,189,3,medium,M,5,4133
A,Ship,4,4,229,5,medium,F,7,1716
D,Flight,3,4,250,3,low,F,3,2371
A,Ship,3,3,256,3,medium,M,8,4070
A,Ship,4,2,144,5,low,F,3,5807
D,Ship,5,5,209,2,low,F,3,4348
F,Ship,3,4,165,2,medium,F,8,4280
F,Flight,5,4,142,2,high,M,7,5341
A,Road,3,5,204,2,low,M,1,4133
F,Ship,5,1,255,3,medium,F,6,5715
D,Ship,7,5,292,5,low,M,5,1932
C,Ship,3,2,204,4,medium,M,7,4768
D,Flight,6,5,118,2,low,F,6,1726
C,Ship,4,3,159,5,low,M,4,4666
B,Ship,5,5,243,2,low,M,9,4669
B,Ship,3,1,226,3,high,M,2,4831
F,Flight,4,3,167,3,medium,F,1,4621
D,Road,3,3,218,2,medium,M,9,2069
D,Ship,3,1,138,5,medium,F,8,1349
F,Ship,5,3,189,5,low,M,7,4869
A,Flight,3,4,135,3,low,M,11,1740
F,Ship,3,2,177,2,high,M,9,4648
A,Ship,4,4,247,2,medium,M,9,5095
D,Ship,3,2,245,3,medium,F,7,4121
C,Road,4,3,180,3,low,M,7,5718
F,Ship,3,1,204,3,medium,M,4,4619
F,Road,6,1,277,5,low,F,2,1190
F,Ship,3,4,269,3,medium,M,9,5133
A,Flight,4,4,252,3,medium,F,7,2477
B,Ship,4,1,234,3,low,M,2,4282
F,Ship,5,1,190,2,low,M,9,5226
A,Road,5,2,272,5,low,M,8,1317
D,Flight,5,3,151,2,low,M,8,4749
C,Ship,3,2,177,3,low,F,5,5941
D,Flight,3,3,178,3,high,M,12,1900
C,Ship,7,4,305,4,medium,F,6,1873
C,Ship,5,1,255,5,medium,M,9,1156
B,Ship,5,2,218,3,low,M,4,5363
B,Ship,5,1,236,5,medium,F,3,1699
B,Ship,4,3,218,2,medium,M,6,4414
B,Road,5,5,184,3,low,F,2,5800
F,Ship,3,3,162,3,medium,M,7,1901
C,Ship,6,3,278,4,high,F,3,1033
F,Road,6,5,247,4,medium,M,7,1461
A,Ship,3,4,173,3,low,F,8,5979
B,Ship,4,1,300,5,medium,M,6,1027
F,Ship,3,4,145,4,high,M,4,5801
F,Ship,4,2,192,4,medium,F,2,5503
B,Ship,5,4,223,5,low,F,2,1713
C,Flight,3,2,227,3,high,M,5,4167
B,Flight,4,2,192,3,medium,F,3,4922
D,Ship,5,1,241,3,high,M,8,5306
F,Ship,6,5,255,4,low,F,9,1197
A,Ship,4,3,192,4,low,F,2,1830
F,Flight,6,1,272,4,low,F,2,1018
F,Road,4,1,226,5,low,M,9,1530
D,Flight,4,1,145,3,low,M,8,5127
F,Ship,6,4,304,4,low,F,2,1749
D,Ship,3,5,206,2,low,F,4,4080
F,Ship,2,2,206,5,low,F,7,5203
C,Ship,3,1,186,2,low,F,1,5054
A,Ship,2,4,245,2,medium,F,10,5389
A,Ship,4,2,199,3,low,M,7,5342
B,Road,3,5,139,2,medium,M,7,5536
D,Road,5,5,184,2,medium,M,9,4649
F,Flight,4,4,175,3,low,F,6,4600
A,Ship,5,4,206,4,low,F,3,3755
D,Ship,6,5,298,4,low,M,3,1009
F,Road,5,4,195,2,low,M,4,3108
F,Ship,6,3,247,4,medium,M,7,1626
A,Flight,5,1,271,5,low,M,4,1353
C,Ship,3,1,209,2,low,F,2,4855
B,Flight,3,4,179,2,medium,M,5,1340
C,Ship,5,1,236,3,medium,F,10,1347
F,Road,5,4,263,2,medium,F,5,4595
F,Ship,4,1,164,4,medium,M,3,5318
B,Ship,3,3,249,5,medium,F,9,1752
A,Road,2,2,163,3,low,M,5,5887
D,Ship,5,1,185,3,medium,F,7,4855
B,Ship,3,4,210,3,low,M,10,4398
F,Ship,5,4,201,3,low,F,5,5137
F,Flight,5,2,252,5,low,F,10,1568
F,Ship,6,1,306,4,low,F,4,1449
