Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms
D,Road,4,1,261,2.0,medium,F,9.0,4158
F,Ship,3,3,162,2.0,low,F,26.0,1659
B,Ship,3,2,221,2.0,medium,M,9.0,4466
D,Ship,3,5,157,4.0,medium,F,2.0,4640
A,Flight,2,5,272,2.0,low,M,24.0,3638
B,Road,4,5,254,3.0,low,M,29.0,3885
F,Ship,2,5,246,5.0,low,M,43.0,2437
D,Ship,4,2,221,2.0,low,F,13.0,3097
F,Ship,2,2,134,3.0,low,M,38.0,1352
F,Ship,4,4,153,5.0,medium,M,9.0,5818
C,Ship,5,3,227,5.0,medium,M,2.0,1965
B,Ship,3,3,250,3.0,low,M,9.0,4993
D,Ship,5,3,209,4.0,medium,F,7.0,2675
F,Ship,6,5,240,3.0,low,M,4.0,5219
F,Road,4,3,263,5.0,medium,M,8.0,1123
A,Ship,4,4,243,3.0,low,M,10.0,3327
F,Flight,4,1,189,3.0,medium,M,5.0,4133
A,Ship,4,4,229,5.0,medium,F,7.0,1716
D,Flight,3,4,250,3.0,low,F,3.0,2371
F,Ship,6,2,172,2.0,low,M,41.0,1006
C,Flight,2,5,255,4.0,low,F,36.0,2093
F,Ship,5,4,259,3.0,medium,F,43.0,2685
A,Ship,3,3,256,3.0,medium,M,8.0,4070
A,Ship,4,2,144,5.0,low,F,3.0,5807
D,Ship,5,5,209,2.0,low,F,3.0,4348
F,Ship,3,4,165,2.0,medium,F,8.0,4280
B,Ship,5,4,264,5.0,medium,F,34.0,2960
D,Ship,4,2,182,3.0,low,M,43.0,3943
F,Flight,5,4,142,2.0,high,M,7.0,5341
A,Road,3,5,204,2.0,low,M,1.0,4133
F,Ship,5,1,255,3.0,medium,F,6.0,5715
F,Flight,5,4,280,5.0,medium,F,43.0,3582
D,Ship,4,1,189,2.0,medium,F,43.0,3474
B,Flight,5,3,225,5.0,medium,F,43.0,3162
F,Ship,6,3,273,4.0,medium,F,32.0,2532
D,Ship,7,5,292,5.0,low,M,5.0,1932
C,Ship,3,2,204,4.0,medium,M,7.0,4768
D,Flight,6,5,118,2.0,low,F,6.0,1726
C,Ship,4,3,159,5.0,low,M,4.0,4666
